Disease,Count of Disease Occurrence,Symptom,Treatment
hypertensive disease,3363,pain chest;shortness of breath;dizziness;asthenia;fall;syncope;vertigo;sweat^sweating increased;palpitation;nausea;angina pectoris;pressure chest,"The main goal of treatment will be to relieve your symptoms. In mild cases, no specific treatment is required. Talk to your doctor about the medications that you’re taking."
diabetes,1421,polyuria;polydypsia;shortness of breath;pain chest;asthenia;nausea;orthopnea;rale;sweat^sweating increased;unresponsiveness;mental status changes;vertigo;vomiting;labored breathing,"Controlling blood sugar through diet, oral medication or insulin is the main treatment. Regular screening for complications is also required."
depression mental^depressive disorder,1337,feeling suicidal;suicidal;hallucinations auditory;feeling hopeless;weepiness;sleeplessness;motor retardation;irritable mood;blackout;mood depressed;hallucinations visual;worry;agitation;tremor;intoxication;verbal auditory hallucinations;energy increased;difficulty;nightmare;unable to concentrate;homelessness,"The mainstay of treatment is usually medication, talk therapy or a combination of the two. Increasingly, research suggests that these treatments may normalise brain changes associated with depression. Therapies include Cognitive behavioral therapy, Behaviour therapy and Psychotherapy.  Medications are SSRIs, Antidepressant and Anxiolytic Medical and Electroconvulsive therapy procedure can be done. "
coronary arteriosclerosis^coronary heart disease,1284,pain chest;angina pectoris;shortness of breath;hypokinesia;sweat^sweating increased;pressure chest;dyspnea on exertion;orthopnea;chest tightness,"Treatments include lifestyle changes, medication, angioplasty and surgery. Self-care inlcludes Quitting smoking, Weight loss, Physical exercise and Low fat diet. Medications inlude Statin, Anticoagulant, Beta blocker, Antianginal and Calcium channel blocker. Medical procedure are Coronary stent and Angioplasty and Coronary artery bypass surgery"
pneumonia,1029,cough;fever;decreased translucency;shortness of breath;rale;productive cough;pleuritic pain;yellow sputum;breath sounds decreased;chill;rhonchus;green sputum;non-productive cough;wheezing;haemoptysis;distress respiratory;tachypnea;malaise;night sweat,"Antibiotics can treat many forms of pneumonia. Some forms of pneumonia can be prevented by vaccines. Medications are Antibiotics and Penicillin Supportive care Oxygen therapy, Oral rehydration therapy and IV fluids"
failure heart congestive,963,shortness of breath;orthopnea;jugular venous distention;rale;dyspnea;cough;wheezing,"Treatments can include eating less salt, limiting fluid intake and taking prescription medication. In some cases a defibrillator or pacemaker may be implanted."
accident cerebrovascular,885,dysarthria;asthenia;speech slurred;facial paresis;hemiplegia;unresponsiveness;seizure;numbness,Early treatment with medication like tPA (clot buster) can minimise brain damage. Other treatments focus on limiting complications and preventing additional strokes.
asthma,835,wheezing;cough;shortness of breath;chest tightness;non-productive cough;pleuritic pain;productive cough;symptom aggravating factors;distress respiratory,"Treatment consists of self care and bronchodilators. Asthma can usually be managed with rescue inhalers to treat symptoms (salbutamol) and controller inhalers that prevent symptoms (steroids). Severe cases may require longer acting inhalers that keep the airways open (formoterol, salmeterol, tiotropium), as well as inhalant steroids."
myocardial infarction,759,pain chest;st segment elevation;sweat^sweating increased;shortness of breath;st segment depression;hypokinesia;angina pectoris;pressure chest;t wave inverted;orthopnea;rale;chest tightness;presence of q wave;palpitation;dyspnea;chest discomfort;bradycardia;syncope,"Treatment depends on severity Treatment ranges from lifestyle changes and cardiac rehabilitation to medication, stents and bypass surgery."
hypercholesterolemia,685,pain;pain chest;sweat^sweating increased;nonsmoker;pressure chest;syncope;numbness;chest discomfort;shortness of breath;st segment depression;worry;t wave inverted;bradycardia;dyspnea,"Treatment consists of self care and statins Treatments include medication, a healthy diet and exercise. Self-care Physical exercise and Low fat diet Medications Statin and Cholesterol medication"
